route_key,mode,o_zone_id,d_zone_id,o_x_coord,o_y_coord,d_x_coord,d_y_coord,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,volume,WKT_geometry
1_2_sov,sov,1,2,-96.7704,43.6128,-96.7113,43.6058,6,9.654,2.99955,4.82627,2.0003,6,6.00086,100,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813)"
1_3_sov,sov,1,3,-96.7704,43.6128,-96.7743,43.573,4,6.436,2.76137,4.44305,1.44855,4,4.00899,100,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962)"
1_4_sov,sov,1,4,-96.7704,43.6128,-96.7472,43.5637,8,12.872,3.59139,5.77855,2.22755,8,8.31257,500,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654)"
1_5_sov,sov,1,5,-96.7704,43.6128,-96.7316,43.564,10,16.09,3.89187,6.26202,2.56946,10,10.6542,200,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034)"
1_6_sov,sov,1,6,-96.7704,43.6128,-96.7116,43.5876,11,17.699,3.41918,5.50145,3.21715,11,12.5656,300,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586)"
1_7_sov,sov,1,7,-96.7704,43.6128,-96.6934,43.5638,16,25.744,5.12869,8.25206,3.11971,16,33.0609,500,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
1_8_sov,sov,1,8,-96.7704,43.6128,-96.7114,43.5623,13,20.917,4.57239,7.35697,2.84315,13,27.4087,800,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324)"
1_9_sov,sov,1,9,-96.7704,43.6128,-96.7312,43.5486,15,24.135,4.85195,7.80678,3.09154,15,20.4614,500,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596)"
1_10_sov,sov,1,10,-96.7704,43.6128,-96.7314,43.5453,18,28.962,5.05918,8.14023,3.55789,18,26.1573,1300,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
1_11_sov,sov,1,11,-96.7704,43.6128,-96.7468,43.5441,14,22.526,4.8911,7.86978,2.86234,14,15.8393,500,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131)"
1_12_sov,sov,1,12,-96.7704,43.6128,-96.7801,43.5439,8,12.872,4.78449,7.69824,1.67207,8,8.0335,200,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941)"
1_13_sov,sov,1,13,-96.7704,43.6128,-96.7934,43.4907,11,17.699,8.51577,13.7019,1.29172,11,11.0612,500,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
1_14_sov,sov,1,14,-96.7704,43.6128,-96.751,43.5293,18,28.962,5.85188,9.41567,3.07594,18,30.3854,300,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
1_15_sov,sov,1,15,-96.7704,43.6128,-96.7315,43.5294,23,37.007,6.0846,9.79012,3.78003,23,43.1192,500,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401)"
1_16_sov,sov,1,16,-96.7704,43.6128,-96.7114,43.5467,18,28.962,5.43882,8.75107,3.30954,18,37.9522,500,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
1_17_sov,sov,1,17,-96.7704,43.6128,-96.7114,43.5413,20,32.18,5.75947,9.26698,3.47254,20,47.1562,400,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
1_18_sov,sov,1,18,-96.7704,43.6128,-96.6941,43.5467,18,28.962,5.95395,9.57991,3.0232,18,35.1222,100,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744)"
1_19_sov,sov,1,19,-96.7704,43.6128,-96.7113,43.5296,22,35.398,6.4676,10.4064,3.40157,22,54.5498,300,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591)"
